,title,link,image,author,price,discount,publisher,isbn,description,pubdate
92,초정리 편지,http://book.naver.com/bookdb/book_detail.php?bid=2910816,https://bookthumb-phinf.pstatic.net/cover/029/108/02910816.jpg?type=m1&udate=20201028,배유안,12800,11520,창비,8936433571 9788936433574,"청소년과 성인을 위한 『초정리 편지』양장본

한글 창제의 의의를 되살린 역사동화 『초정리편지』양장본. 창비출판사 제10회 '좋은 어린이책' 창작 부분 대상 수상작인 이 작품을 청소년과 성인을 대상으로 하여, 새로운 디자인과 판형으로 새롭게 펴냈다. 

소설은 세종대왕의 일화에서 건져낸 한글 창제의... ",20070503
93,부끄러움을 가르칩니다,http://book.naver.com/bookdb/book_detail.php?bid=2514332,https://bookthumb-phinf.pstatic.net/cover/025/143/02514332.jpg?type=m1&udate=20130617,박완서,12000,11700,문학동네,8954601936 9788954601931,"박완서의 단편소설 전집 제1권 『부끄러움을 가르칩니다』&lt;개정판&gt;. 1971년 3월부터 1975년 6월까지 발표한 작가의 초기 소설을 수록하였다. 이 소설들에는 6.25전쟁의 파괴성, 그후에 급속히 찾아온 산업화의 폐해 등 부조리한 현실세계에 안주함으로써 더 큰 절망감에 빠지는 인물의 모습이 집중적으로... ",20060825
94,독신 마법사 기숙 아파트 세트(전3권) (기르답 장편소설),http://book.naver.com/bookdb/book_detail.php?bid=16368069,https://bookthumb-phinf.pstatic.net/cover/163/680/16368069.jpg?type=m1&udate=20200611,기르답,39000,35100,파란미디어,8963717631 9788963717630,"자고로 마법사들이란 생활 능력 0, 일반 상식 0, 공감 능력 0! 
마법 빼고는 관심 없는 이상한 사람들 아닌가?

나라에서 허가하지 않은 마법 도구와 실험들이 난무하는 독신 마법사 기숙 아파트.
더구나 마법이 특별히 사랑하는 체질의 랑세는 원치 않는 사건 사고에 휘말리게 되는데…….

이웃 주민이 보낸 마법... ",20200609
95,"마리아비틀 (Maria Beetle,이사카 고타로 장편소설)",http://book.naver.com/bookdb/book_detail.php?bid=15909250,https://bookthumb-phinf.pstatic.net/cover/159/092/15909250.jpg?type=m1&udate=20200305,이사카 코타로,16800,15120,알에이치코리아,8925567865 9788925567860,"인간의 폭력과 악의 근원은 무엇인가?《골든 슬럼버》, 《사신 치바》 등 다수의 흥행작을 탄생시키며 미스터리 소설 독자뿐만 아니라 일반 독자들까지 사로잡은 작가 이사카 고타로의 「킬러 시리즈」 두 번째 이야기 『마리아비틀(MARIA BEETLE)』. 우연히 신칸센에 올라탄 킬러들의 쫓고 쫓기는 추격전을 그린... ",20191125
96,토요일의 주인님 세트(전3권) (섬온화 장편소설),http://book.naver.com/bookdb/book_detail.php?bid=16686183,https://bookthumb-phinf.pstatic.net/cover/166/861/16686183.jpg?type=m1&udate=20200922,섬온화,42000,37800,곁,1165253399 9791165253394,"『토요일의 주인님』은 섬온화 작가의 BL 소설로, 2017년 전자책으로 출간하여 수많은 독자의 사랑을 받아 온 인기 작품이다. 소설은 대기업 래원의 컨설팅팀 팀장인 한주원과 그가 이끄는 TF팀에 발을 들이게 된 사원 이서단을 중심으로 전개되며, 두 주인공 사이 점차 완성되어 가는 관계성은 물론, 탄탄하게... ",20200910
97,낙타샹즈 (중국 현대소설선 2),http://book.naver.com/bookdb/book_detail.php?bid=4399501,https://bookthumb-phinf.pstatic.net/cover/043/995/04399501.jpg?type=m1&udate=20190212,라오서,13000,11700,황소자리,8991508413 9788991508415,"내가 소개하고자 하는 이는 샹즈이지 낙타가 아니다!

베이징에 사는 인력거꾼 샹즈의 비참한 일생을 그린 중국 작가, 라오서 대표작. 착하고 성실했던 한 청년의 삶에 스며든 퇴행적 개인주의의 파괴력, 20세기 초 북경 사람들의 일상사, 부패한 권력이 개인의 삶에 가하는 야만적 폭력 등을 문학적으로 형상화한... ",20080210
98,위대한 개츠비 (청소년 징검다리 클래식 17),http://book.naver.com/bookdb/book_detail.php?bid=4351185,https://bookthumb-phinf.pstatic.net/cover/043/511/04351185.jpg?type=m1&udate=20210114,F. 스콧 피츠제럴드,11000,9900,푸른숲,8971847573 9788971847572,"F. 스콧 피츠제럴드 대표작. 가난 때문에 잃어버린 첫사랑의 여인을 되찾기 위해 수단과 방법을 가리지 않고 돈을 모아 부자가 된 주인공 개츠비가 또다시 그녀에게 배신을 당하고 파멸을 맞게 되는 과정을 담았다.

1920년대 미국을 배경으로 현대 물질 문명의 황폐한 이면을 하드보일드 스타일로 묘사한... ",20071220
99,1973년의 핀볼 (무라카미 하루키 자전적 소설),http://book.naver.com/bookdb/book_detail.php?bid=4350297,https://bookthumb-phinf.pstatic.net/cover/043/502/04350297.jpg?type=m1&udate=20190212,무라카미 하루키,13500,12150,문학사상사,8970128034 9788970128030,"무라카미 하루키 자전적 소설

무라카미 하루키 자전적 소설.  과거가 되어버린 환상의 핀볼 머신을 찾아 여행하는 주인공이 상실의 고통과 허무를 딛고 묵묵히 현실을 견뎌대는 과정을 그린 이 책은 &lt;바람의 노래를 들어라&gt;의 속편으로 씌어져, 다음 작품 &lt;양을 둘러싼 모험&gt;으로 이어진다. 

1973년... ",20071203
100,바람의 노래를 들어라,http://book.naver.com/bookdb/book_detail.php?bid=2129452,https://bookthumb-phinf.pstatic.net/cover/021/294/02129452.jpg?type=m1&udate=20170511,무라카미 하루키,11000,9900,문학사상사,8970127194 9788970127194,"무라카미 하루키 처녀작이자 자전적 소설 『바람의 노래를 들어라』양장본. 일본의 군조신인상 수상작이다. 젊은 날의 격정적인 시간을 보낸 뒤 밀려든 허무감과 깊은 상실감, 그리고 그것을 극복하고 재생하고자 하는 젊은이들의 여정을 그려내고 있다. 메마른 청춘의 편린을 작가 특유의 경쾌한 문장으로... ",20060324
101,특별한 배달 (김선영 장편소설),http://book.naver.com/bookdb/book_detail.php?bid=13977082,https://bookthumb-phinf.pstatic.net/cover/139/770/13977082.jpg?type=m1&udate=20210112,김선영,13500,12150,자음과모음,8954439039 9788954439039,"김선영의 작품은 성인 독자가 읽어도 손색없을 정도로 의미 있는 소설이지만 안타깝게도 청소년문학에 대한 편견 혹은, 외형적인 모습으로 인해 그간 일반 독자의 선택에서 다소 멀어졌던 경향이 있다. 이런 안타까운 상황을 개선하고, 김선영의 밀도 높은 작품을 일반 독자에게 널리 소개하고자 리커버... ",20180903
